name,short_description,genres,release_date,developer,publisher,overall_player_rating,number_of_reviews_from_purchased_people,number_of_english_reviews,link
Black Myth: Wukong,"Black Myth: Wukong is an action RPG rooted in Chinese mythology. You shall set out as the Destined One to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past.","Mythology, Action RPG, Action, RPG, Souls-like, Combat, Story Rich, Singleplayer, Drama, Action-Adventure, Dark Fantasy, Atmospheric, Adventure, 3D, Fantasy, Hack and Slash, Third Person, Difficult, Music, Violent",2024-08-19,Game Science,Game Science,Overwhelmingly Positive,"(654,820)",51931,https://store.steampowered.com/app/2358720/Black_Myth_Wukong?snr=1_category_4_action_salebrowseall
Counter-Strike 2,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.","FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",2012-08-21,Valve,Valve,Very Positive,"(8,313,603)",2258990,https://store.steampowered.com/app/730/CounterStrike_2?snr=1_category_4_action_salebrowseall
"Warhammer 40,000: Space Marine 2",Embody the superhuman skill and brutality of a Space Marine. Unleash deadly abilities and devastating weaponry to obliterate the relentless Tyranid swarms. Defend the Imperium in spectacular third-person action in solo or multiplayer modes.,"Warhammer 40K, Action, Third-Person Shooter, Adventure, Multiplayer, Action-Adventure, PvE, Co-op, Third Person, Wargame, Sci-fi, 3D, Narration, Fantasy, Space, War, Realistic, Singleplayer, Cinematic, Futuristic",2024-09-09,Saber Interactive,Focus Entertainment,Very Positive,"(81% of 62,791) All Time",51920,https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2?snr=1_category_4_action_salebrowseall
Cyberpunk 2077,"Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.","Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci-fi, Futuristic, FPS, Mature, Story Rich, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim",2020-12-10,CD PROJEKT RED,CD PROJEKT RED,Very Positive,"(680,264)",324124,https://store.steampowered.com/app/1091500/Cyberpunk_2077?snr=1_category_4_action_salebrowseall
ELDEN RING,"THE CRITICALLY ACCLAIMED FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","Souls-like, Dark Fantasy, Open World, RPG, Difficult, Action RPG, Third Person, Multiplayer, Fantasy, Singleplayer, Online Co-Op, Action, Co-op, PvP, Atmospheric, Great Soundtrack, Violent, 3D, Character Customization, Family Friendly",2022-02-25,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",Very Positive,"(705,261)",491741,https://store.steampowered.com/app/1245620/ELDEN_RING?snr=1_category_4_action_salebrowseall
PUBG: BATTLEGROUNDS,"Play PUBG: BATTLEGROUNDS for free. Land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse Battlegrounds. Squad up and join the Battlegrounds for the original Battle Royale experience that only PUBG: BATTLEGROUNDS can offer.","Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth",2017-12-21,PUBG Corporation,"KRAFTON, Inc.",Mixed,"(2,432,683)",417109,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS?snr=1_category_4_action_salebrowseall
Apex Legends™,"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.","Free to Play, Battle Royale, Multiplayer, FPS, Shooter, First-Person, PvP, Action, Hero Shooter, Team-Based, Tactical, Sci-fi, Survival, Loot, Character Customization, Funny, Co-op, Lore-Rich, Cyberpunk, Cinematic",2020-11-04,Respawn,Electronic Arts,Mixed,"(948,818)",406269,https://store.steampowered.com/app/1172470/Apex_Legends?snr=1_category_4_action_salebrowseall
Dota 2,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if its their 10th hour of play or 1,000th, theres always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.","Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2013-07-09,Valve,Valve,Very Positive,"(2,322,723)",731670,https://store.steampowered.com/app/570/Dota_2?snr=1_category_4_action_salebrowseall
Party Animals,"Fight your friends as puppies, kittens and other fuzzy creatures in PARTY ANIMALS! Paw it out with your friends remotely, or huddle together for chaotic fun on the same screen. Interact with the world under our realistic physics engine. Did I mention PUPPIES?","Casual, Multiplayer, Funny, Cute, Party Game, Fighting, Action, PvP, Co-op, Party, Family Friendly, Online Co-Op, Local Multiplayer, Physics, 3D Fighter, 4 Player Local, Indie, Local Co-Op, Team-Based, Action-Adventure",2023-09-20,Recreate Games,Source Technology,Mostly Positive,"(38,225)",16141,https://store.steampowered.com/app/1260320/Party_Animals?snr=1_category_4_action_salebrowseall
Total War: WARHAMMER III,"The cataclysmic conclusion to the Total War: WARHAMMER trilogy is here. Rally your forces and step into the Realm of Chaos, a dimension of mind-bending horror where the very fate of the world will be decided. Will you conquer your Daemons… or command them?","Strategy, Turn-Based Strategy, Grand Strategy, RTS, Fantasy, Real Time Tactics, War, Dark Fantasy, Action, Tactical, Atmospheric, Dwarf, Games Workshop, Multiplayer, Colorful, Co-op, PvP, Singleplayer, Story Rich, Online Co-Op",2022-02-16,"CREATIVE ASSEMBLY, Feral Interactive","SEGA, Feral Interactive",Mixed,"(75,474)",61292,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III?snr=1_category_4_action_salebrowseall
Cyberpunk 2077: Phantom Liberty,,"RPG, Sexual Content, Cyberpunk, Open World, Story Rich, Nudity, Violent, Gore, Atmospheric, Singleplayer, First-Person, FPS, Character Customization, Action RPG, Action, Choices Matter, Shooter, Horror, Great Soundtrack, Stealth",2023-09-26,CD PROJEKT RED,CD PROJEKT RED,Very Positive,"(15,726)",7969,https://store.steampowered.com/app/2138330/Cyberpunk_2077_Phantom_Liberty?snr=1_category_4_action_salebrowseall
Once Human,"Once Human is a multiplayer open-world survival game set in a strange, post-apocalyptic future. Unite with friends to fight monstrous enemies, uncover secret plots, compete for resources, and build your own territory. Once, you were merely human. Now, you have the power to remake the world.","Survival, Open World, Multiplayer, Free to Play, Co-op, Shooter, Horror, Post-apocalyptic, Base Building, Action, Adventure, Strategy, 3D, RPG, Simulation, MMORPG, Action-Adventure, PvP, Singleplayer, Strategy RPG",2024-07-09,Starry Studio,Starry Studio,Mostly Positive,"(89,006)",44785,https://store.steampowered.com/app/2139460/Once_Human?snr=1_category_4_action_salebrowseall
NARAKA: BLADEPOINT,"Dive into the legends of the Far East in NARAKA: BLADEPOINT; team up with friends in fast-paced melee fights for a Battle Royale experience unlike any other. Find your playstyle with a varied cast of heroes with unique skills. More than 20 million players have already joined the fray, play free now!","Battle Royale, Multiplayer, Martial Arts, PvP, Action, Female Protagonist, Character Customization, Massively Multiplayer, Fighting, Survival, Third Person, Swordplay, Hack and Slash, Anime, Parkour, Adventure, Mature, Free to Play, Violent, Gore",2021-08-11,24 Entertainment,NetEase Games Global,Mostly Positive,"(253,231)",20468,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT?snr=1_category_4_action_salebrowseall
Warframe,Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,"Free to Play, Action RPG, Looter Shooter, Third-Person Shooter, Action, RPG, Third Person, Character Customization, Massively Multiplayer, Online Co-Op, Co-op, Singleplayer, PvE, Sci-fi, Space, Lore-Rich, Shooter, Hack and Slash, Parkour, Ninja",2013-03-25,Digital Extremes,Digital Extremes,Very Positive,"(591,568)",253397,https://store.steampowered.com/app/230410/Warframe?snr=1_category_4_action_salebrowseall
Grounded,"The world is a vast, beautiful and dangerous place – especially when you have been shrunk to the size of an ant. Can you thrive alongside the hordes of giant insects, fighting to survive the perils of the backyard?","Survival, Multiplayer, Co-op, Open World Survival Craft, Base Building, Crafting, Adventure, Open World, Horror, Online Co-Op, Exploration, Action, Sandbox, First-Person, Singleplayer, RPG, Third Person, Cute, Early Access, Funny",2022-09-27,Obsidian Entertainment,Xbox Game Studios,Very Positive,"(58,988)",41223,https://store.steampowered.com/app/962130/Grounded?snr=1_category_4_action_salebrowseall
Tom Clancys Rainbow Six® Siege,"Tom Clancys Rainbow Six® Siege is an elite, tactical team-based shooter where superior planning and execution triumph.","FPS, PvP, eSports, Multiplayer, Shooter, Tactical, Competitive, Online Co-Op, Action, Hero Shooter, Team-Based, Military, Strategy, First-Person, War, Co-op, Realistic, Destruction, Difficult, 3D",2015-12-01,Ubisoft Montreal,Ubisoft,Very Positive,"(1,121,920)",646088,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege?snr=1_category_4_action_salebrowseall
